Activity;Case ID;Duration;Event_Nr
Accepted-In Progress;1-165554831;-0.0010393471412694136;1
Accepted-Wait;1-165554831;85382286.03870851;2
Accepted-In Progress;1-165554831;55269982.00037791;3
Accepted-In Progress;1-165554831;11842908.000438334;4
Completed-Closed;1-165554831;2.0004828372148062;5
Accepted-In Progress;1-172473423;0.00026780875150242607;1
Accepted-Wait;1-172473423;80949759.00249216;2
Accepted-In Progress;1-172473423;55269986.00003309;3
Accepted-In Progress;1-172473423;11840993.999244591;4
Completed-Closed;1-172473423;17.00002475193975;5
Accepted-In Progress;1-182640781;0.001337623764582048;1
Accepted-In Progress;1-182640781;9915556.0;2
Queued-Awaiting Assignment;1-182640781;157.0;3
Accepted-In Progress;1-182640781;4679.0;4
Accepted-Assigned;1-182640781;5.0;5
Accepted-In Progress;1-182640781;0.0;6
Completed-Closed;1-182640781;2069212.0;7
Accepted-In Progress;1-236817141;-0.000551651386635202;1
Accepted-In Progress;1-236817141;3879561.0;2
Queued-Awaiting Assignment;1-236817141;95386.0;3
Accepted-In Progress;1-236817141;14427324.0;4
Accepted-Assigned;1-236817141;298.0;5
Accepted-In Progress;1-236817141;55984.0;6
Completed-Closed;1-236817141;9069733.0;7
Accepted-In Progress;1-270427461;0.0014873115489070878;1
Accepted-Wait;1-270427461;33189811.00233059;2
Accepted-In Progress;1-270427461;61522371.998590104;3
Accepted-In Progress;1-270427461;5595587.000701685;4
Completed-Closed;1-270427461;126.99992378752452;5
Accepted-In Progress;1-310231291;-0.0025071179009458324;1
Accepted-In Progress;1-310231291;87016964.00000198;2
Completed-Closed;1-310231291;92.00054781972642;3
Accepted-In Progress;1-320604521;0.00021302181731518274;1
Accepted-In Progress;1-320604521;0.0;2
Completed-Closed;1-320604521;2.0;3
Accepted-In Progress;1-322581861;-9.163233618767071e-05;1
Accepted-In Progress;1-322581861;0.0;2
Completed-Closed;1-322581861;12634894.0;3
Accepted-In Progress;1-322980802;-0.0024589673245881136;1
Completed-Closed;1-322980802;75078507.999772;2
Accepted-In Progress;1-323264491;-0.0007818805050756146;1
Accepted-Assigned;1-323264491;192.00899560702064;2
Completed-Closed;1-323264491;84227551.99951164;3
Accepted-In Progress;1-327329880;9.88607717694546e-05;1
Accepted-Wait;1-327329880;4219902.99606646;2
Accepted-In Progress;1-327329880;55159050.99958001;3
Accepted-In Progress;1-327329880;13166686.000158412;4
Completed-Closed;1-327329880;2.9987539408610755;5
Accepted-In Progress;1-338946805;7.969408533532088e-06;1
Accepted-In Progress;1-338946805;65387006.000100315;2
Completed-Closed;1-338946805;74.00038289146498;3
Accepted-In Progress;1-339798202;-0.0016032091833003586;1
Accepted-In Progress;1-339798202;70845721.00008947;2
Completed-Closed;1-339798202;21.99963684728973;3
Accepted-In Progress;1-339889001;-0.0008552581414152297;1
Accepted-In Progress;1-339889001;70733844.99990685;2
Completed-Closed;1-339889001;157.99920142306817;3
Accepted-In Progress;1-340984229;-8.824324089544012e-06;1
Accepted-In Progress;1-340984229;0.0;2
Completed-Closed;1-340984229;27289530.0;3
Accepted-Wait;1-341002175;0.012301768715220339;1
Accepted-In Progress;1-341002175;66620626.99990052;2
Completed-Closed;1-341002175;34.99985922202657;3
Accepted-In Progress;1-342442140;0.0025206201057007584;1
Completed-Closed;1-342442140;69550300.00262772;2
Accepted-In Progress;1-345255471;0.0012590918249066763;1
Accepted-In Progress;1-345255471;54556927.0;2
Queued-Awaiting Assignment;1-345255471;141.0;3
Accepted-In Progress;1-345255471;0.0;4
Completed-Closed;1-345255471;218.0;5
