Activity;Case ID;Duration;Event_Nr
Accepted-In Progress;1-165554831;0.000624207648742471;1
Accepted-Wait;1-165554831;85382285.99418092;2
Accepted-In Progress;1-165554831;55269981.99989012;3
Accepted-In Progress;1-165554831;11842908.000406936;4
Completed-Closed;1-165554831;1.9990288561292273;5
Accepted-In Progress;1-172473423;-0.0001049173301845659;1
Accepted-Wait;1-172473423;80949759.00077428;2
Accepted-In Progress;1-172473423;55269985.99907635;3
Accepted-In Progress;1-172473423;11840994.000435235;4
Completed-Closed;1-172473423;17.000199507902384;5
Accepted-In Progress;1-182640781;-0.00019203138003296506;1
Queued-Awaiting Assignment;1-182640781;332.0;2
Accepted-In Progress;1-182640781;0.0;3
Accepted-Assigned;1-182640781;6.0;4
Accepted-In Progress;1-182640781;0.0;5
Completed-Closed;1-182640781;1049.0;6
Accepted-In Progress;1-236817141;-0.00039527347926897425;1
Queued-Awaiting Assignment;1-236817141;253.0;2
Accepted-In Progress;1-236817141;3076302.0;3
Accepted-Assigned;1-236817141;9.0;4
Accepted-In Progress;1-236817141;51943.0;5
Completed-Closed;1-236817141;11474719.0;6
Accepted-In Progress;1-270427461;-0.0020028168741605358;1
Accepted-Wait;1-270427461;33189810.99745767;2
Accepted-In Progress;1-270427461;61522372.00046561;3
Accepted-In Progress;1-270427461;5595587.000646646;4
Completed-Closed;1-270427461;127.00093779555804;5
Accepted-In Progress;1-310231291;0.0018575629070884672;1
Accepted-In Progress;1-310231291;87016963.99905965;2
Completed-Closed;1-310231291;92.0001411905843;3
Accepted-In Progress;1-320604521;0.0017016347462045047;1
Accepted-Assigned;1-320604521;221.0;2
Completed-Closed;1-320604521;859034.0;3
Accepted-In Progress;1-322581861;0.0007450837636039673;1
Accepted-Assigned;1-322581861;6.0;2
Completed-Closed;1-322581861;3230831.0;3
Accepted-In Progress;1-322980802;-0.00041965988824742994;1
Completed-Closed;1-322980802;75078507.9991888;2
Accepted-In Progress;1-323264491;0.0024944980338457313;1
Accepted-Assigned;1-323264491;192.000716449521;2
Completed-Closed;1-323264491;84227551.99909216;3
Accepted-In Progress;1-327329880;-0.00030308152661054875;1
Accepted-Wait;1-327329880;4219902.981560447;2
Accepted-In Progress;1-327329880;55159050.99913537;3
Accepted-In Progress;1-327329880;13166685.99990198;4
Completed-Closed;1-327329880;3.000278336595554;5
Accepted-In Progress;1-338946805;-0.0017020758790199865;1
Accepted-In Progress;1-338946805;65387006.00007039;2
Completed-Closed;1-338946805;74.00062577372023;3
Accepted-In Progress;1-339798202;-0.00039344825113489583;1
Accepted-In Progress;1-339798202;70845721.00013487;2
Completed-Closed;1-339798202;21.999592966527064;3
Accepted-In Progress;1-339889001;0.0013859036837005902;1
Accepted-In Progress;1-339889001;70733844.99908064;2
Completed-Closed;1-339889001;157.9995300576164;3
Accepted-In Progress;1-340984229;-2.8706000238975983e-05;1
Accepted-Assigned;1-340984229;0.0;2
Completed-Closed;1-340984229;52.0;3
Accepted-Wait;1-341002175;-0.007026639640290415;1
Accepted-In Progress;1-341002175;66620627.00116523;2
Completed-Closed;1-341002175;35.00109536802721;3
Accepted-In Progress;1-342442140;7.261933388530244e-05;1
Completed-Closed;1-342442140;69550299.99933103;2
Accepted-In Progress;1-345255471;0.00023951298873125393;1
Queued-Awaiting Assignment;1-345255471;86880.98537778239;2
Queued-Awaiting Assignment;1-345255471;53222142.9996184;3
Accepted-In Progress;1-345255471;11898315.99989731;4
Completed-Closed;1-345255471;188.00039606524308;5
Accepted-In Progress;1-347461373;-0.0003342025413637539;1
Accepted-In Progress;1-347461373;70070150.99980938;2
Completed-Closed;1-347461373;44.99797658627549;3
Accepted-In Progress;1-347923966;-0.002245426454536999;1
Accepted-Assigned;1-347923966;1218123.9986480498;2
Accepted-Assigned;1-347923966;104.0;3
Accepted-In Progress;1-347923966;624.0;4
Completed-Closed;1-347923966;2917658.0;5
Accepted-In Progress;1-347924629;0.0005161803176689279;1
Accepted-Assigned;1-347924629;59625710.99752859;2
Accepted-Wait;1-347924629;9081771.003858285;3
Completed-Closed;1-347924629;900.0005388903953;4
Accepted-In Progress;1-349857482;-0.0004088556004452112;1
Completed-Closed;1-349857482;65917324.00076479;2
Accepted-In Progress;1-351187625;0.000582236563377857;1
Accepted-In Progress;1-351187625;69036552.99958968;2
Completed-Closed;1-351187625;36.00087273624012;3
Accepted-In Progress;1-351314317;0.0008249518398608318;1
Queued-Awaiting Assignment;1-351314317;646.0072370404241;2
Accepted-In Progress;1-351314317;3333.0004595009823;3
Accepted-Assigned;1-351314317;7.013872726738979;4
Accepted-In Progress;1-351314317;59226260.99984946;5
Completed-Closed;1-351314317;1176462.99823184;6
Accepted-In Progress;1-351869391;-0.0005714166479691721;1
Accepted-In Progress;1-351869391;64643678.00018949;2
Completed-Closed;1-351869391;129.99874986194018;3
Queued-Awaiting Assignment;1-353818791;-0.001610737121211405;1
Accepted-In Progress;1-353818791;13.999583530422116;2
Queued-Awaiting Assignment;1-353818791;22310071.004805237;3
Accepted-In Progress;1-353818791;78924.0000007468;4
Completed-Closed;1-353818791;45181838.001871884;5
Accepted-In Progress;1-354039443;-0.0018987280552854732;1
Accepted-In Progress;1-354039443;421.0005917517124;2
Accepted-Assigned;1-354039443;15698.00454465351;3
Accepted-In Progress;1-354039443;58848917.00057534;4
Completed-Closed;1-354039443;2841844.0030139284;5
Accepted-In Progress;1-354350908;34223765.0;1
Accepted-Wait;1-354350908;3048.0;2
Accepted-In Progress;1-354350908;17199.0;3
Accepted-In Progress;1-354350908;0.0;4
Completed-Closed;1-354350908;4744288.0;5
Accepted-In Progress;1-354376900;0.0;1
Accepted-Wait;1-354376900;6296153.0;2
Accepted-In Progress;1-354376900;0.0;3
Accepted-In Progress;1-354376900;0.0;4
Completed-Closed;1-354376900;2950536.0;5
Accepted-In Progress;1-357087417;-0.0013151403695771968;1
Queued-Awaiting Assignment;1-357087417;621.000250079907;2
Accepted-In Progress;1-357087417;17358.000463887227;3
Accepted-Assigned;1-357087417;423.0055492148794;4
Accepted-In Progress;1-357087417;57643222.99999979;5
Completed-Closed;1-357087417;2838543.99985562;6
Accepted-In Progress;1-357610411;-0.001879499909816792;1
Accepted-Wait;1-357610411;17357998.993997168;2
Completed-Closed;1-357610411;43226491.00121782;3
Accepted-In Progress;1-358776870;-0.0008408213936900376;1
Accepted-Wait;1-358776870;96.02917258556074;2
Completed-Closed;1-358776870;65065170.99919346;3
Accepted-In Progress;1-359215498;-0.0009685747232405107;1
Accepted-Assigned;1-359215498;34378850.000993095;2
Accepted-In Progress;1-359215498;0.0;3
Accepted-Wait;1-359215498;11078.0;4
Completed-Closed;1-359215498;433988.0;5
Accepted-In Progress;1-359781492;-0.0002989055888965924;1
Completed-Closed;1-359781492;63519901.00480485;2
Accepted-In Progress;1-360464815;0.0046379164174272835;1
Accepted-Wait;1-360464815;2685148.99096542;2
Accepted-In Progress;1-360464815;36270269.999684475;3
Completed-Closed;1-360464815;22216832.998278208;4
Accepted-In Progress;1-360667704;0.0012001723600561997;1
